name,description,regular_price,sale_price,stock,sku,category,image_url
"iPhone 17 256GB","iPhone 17 256GB - Điện thoại thông minh mới nhất",24990000,22900000,100,"iphone17256","iPhone","https://shopdunk.com/images/thumbs/0048180_xanh-lam-khoi.jpeg"
"iPhone 17 Pro 256GB","iPhone 17 Pro 256GB - Phiên bản Pro cao cấp",34500000,32990000,100,"iphone17pro256","iPhone",""
"iPhone 17 Pro Max 512GB","iPhone 17 Pro Max 512GB - Cao cấp nhất thế hệ 17",44490000,41490000,100,"iphone17promax512","iPhone",""
"iPhone Air 256GB","iPhone Air 256GB - Phiên bản đặc biệt",31990000,29990000,100,"iphoneAir256","iPhone",""
"iPhone 17 512GB","iPhone 17 512GB Dung lượng lớn",31900000,30990000,100,"iphone17512","iPhone",""
"iPhone 16 Plus 128GB","iPhone 16 Plus 128GB - Màn hình lớn hơn",25990000,21890000,100,"iphone16plus128","iPhone",""
"iPhone 15 128GB","iPhone 15 128GB - Thế hệ trước vẫn mạnh mẽ",24990000,15490000,100,"iphone15128","iPhone",""
"iPhone 15 Plus 128GB","iPhone 15 Plus 128GB - Màn hình lớn",27990000,18990000,100,"iphone15plus128","iPhone",""
"iPhone 16 Pro Max 256GB","iPhone 16 Pro Max 256GB - Cao cấp nhất thế hệ 16",30900000,29090000,100,"iphone16promax256","iPhone",""
"iPhone 16 128GB","iPhone 16 128GB - Lựa chọn kinh tế",20990000,19900000,100,"iphone16128","iPhone",""
"iPhone 15 Pro Max 512 GB","iPhone 15 Pro Max 512GB - Chất lượng tốt phù hợp ví tiền",24990000,12490000,100,"iphone15promax512","iPhone",""
"iPhone 14 Plus 128GB","iPhone 14 Plus 128GB - Màn hình lớn, pin trâu",17990000,15490000,100,"iphone14plus128","iPhone",""
"iPhone 16e 256GB","iPhone 16e 256GB - Dung lượng cao",19999000,19290000,100,"iphone16e256","iPhone",""
"iPhone 16e 512GB","iPhone 16e 512GB - Dung lượng khủng",25999000,25490000,100,"iphone16e512","iPhone",""
"iPhone 16 Pro 256GB","iPhone 16 Pro 256GB - Pro với dung lượng lớn",26990000,24990000,100,"iphone16pro256","iPhone",""
"iPhone 13 128GB","iPhone 13 128GB - Cũ nhưng vẫn tốt",12990000,10490000,100,"iphone13128","iPhone",""
